pomid,artist,scientific name,common name,geographic origin,physical description,specimen,year,notes on original,date created,variety,nal note
POM00007298,,Pyrus communis,pears,,1 art original : col. ; 18 x 24 cm. ,131904,1904,Anon[ymous],1904,Flemish Beauty & Louise Bonne,
POM00006999,"Passmore, Deborah Griscom, 1840-1911",Pyrus communis,pears,"Monticello, Jefferson County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,16356,1898,,1898,Florida,
POM00007000,"Heiges, Bertha",Pyrus communis,pears,"South Haven, Van Buren County, Michigan, United States",1 art original : col. ; 16 x 24 cm. ,33069,1904,,1904-12-05,Florida Bartlett,
POM00007001,"Arnold, Mary Daisy, ca. 1873-1955",Pyrus communis,pears,"Santa Clara, Santa Clara County, California, United States",1 art original : col. ; 17 x 25 cm. ,52450,1911,,1911-10-26,Forella,
POM00007002,"Passmore, Deborah Griscom, 1840-1911",Pyrus communis,pears,"Paris, France",1 art original : col. ; 16 x 24 cm. ,20935,1900,,1900,Forella Birne,
POM00007003,"Passmore, Deborah Griscom, 1840-1911",Pyrus communis,pears,"Fayetteville, Cumberland County, North Carolina, United States",1 art original : col. ; 15 x 24 cm. ,12295,1896,,1896,Frederick Clapp,
POM00007004,"Newton, Amanda Almira, ca. 1860-1943",Pyrus communis,pears,"Geneva, Ontario County, New York, United States",1 art original : col. ; 16 x 25 cm. ,66656,1913,,1913-10-26,Frederick Clapp,
POM00007005,"Passmore, Deborah Griscom, 1840-1911",Pyrus communis,pears,"Benson, Harford County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,17589,1899,,1899,French Jargonelle,
POM00007006,"Heiges, Bertha",Pyrus communis,pears,"Rochester, Monroe County, New York, United States",1 art original : col. ; 17 x 25 cm. ,17980,1899,,1899-09-20,Gansel Bergamotte,
POM00007007,"Newton, Amanda Almira, ca. 1860-1943",Pyrus communis,pears,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,64955,1913,,1913-10-11,Gansel Seckel,
POM00007008,"Passmore, Deborah Griscom, 1840-1911",Pyrus communis,pears,"South Haven, Van Buren County, Michigan, United States",1 art original : col. ; 17 x 25 cm. ,20305,1900,,1900,Gansel Seckel,
POM00007009,"Heiges, Bertha",Pyrus communis,pears,"Woodwardville, Anne Arundel County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,23019,1901,,1901-10-21,Garber,
POM00007010,"Arnold, Mary Daisy, ca. 1873-1955",Pyrus communis,pears,"Moorestown, Burlington County, New Jersey, United States",1 art original : col. ; 17 x 25 cm. ,[00259],1935,,1935,Garber,Assigned specimen number
POM00007011,"Passmore, Deborah Griscom, 1840-1911",Pyrus communis,pears,"Monticello, Jefferson County, Florida, United States",1 art original : col. ; 16 x 24 cm. ,3687,1929,,1929-08,Garber,
POM00007012,"Passmore, Deborah Griscom, 1840-1911",Pyrus communis,pears,"New Brunswick, Middlesex County, New Jersey, United States",1 art original : col. ; 17 x 25 cm. ,16499,1898,For ident and Hort. Agri.Exp. Station,1898-10,Garber,
POM00007013,"Lower, Elsie E., b. 1882",Pyrus communis,pears,"Denton, Caroline County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,41134,1908,,1908-07-13,Giffard,
POM00007493,"Passmore, Deborah Griscom, 1840-1911",Morus,mulberries,"McKinney, Collin County, Texas, United States",1 art original : col. ; 17 x 25 cm. ,40862,1908,,1908-05-07,Travis,
POM00000780,"Shull, James Marion, 1872-1948",Musa,bananas,,1 art original : col. ; 17 x 24 cm. ,1142,,,,,
POM00000781,"Shull, James Marion, 1872-1948",Musa,bananas,,1 art original : col. ; 18 x 24 cm. ,1143,,,,,
POM00000782,"Shull, James Marion, 1872-1948",Musa,bananas,"Santa Madre, Colombia",1 art original : col. ; 17 x 24 cm. ,1149,1919,,1919,,
POM00000784,"Shull, James Marion, 1872-1948",Musa,bananas,,1 art original : col. ; 16 x 24 cm. ,1151,1919,,1919,,
POM00000785,"Shull, James Marion, 1872-1948",Musa,bananas,,1 art original : col. ; 19 x 24 cm. ,1166,1919,,1919,,
POM00000786,"Shull, James Marion, 1872-1948",Musa,bananas,,1 art original : col. ; 17 x 24 cm. ,1167,1919,,1919,,
POM00000850,"Shull, James Marion, 1872-1948",Musa,bananas,United States,1 art original : col. ; 18 x 24 cm. ,1113,1919,,1919-02-06,,
POM00007495,"Lower, Elsie E., b. 1882",Musa,bananas,"Mexico City, Mexico",1 art original : col. ; 17 x 25 cm. ,32363,1904,,1904,Ciento en Boca,
POM00000787,"Schutt, Ellen Isham, 1873-1955",Musa,bananas,"Miami, Dade County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,36498 1/2,1906,,1906-08-31,Dacca,
POM00007496,"Newton, Amanda Almira, ca. 1860-1943",Musa,bananas,"Mayaguez, Puerto Rico, United States",1 art original : col. ; 17 x 25 cm. ,38393,1907,,1907-06-21,Guincos Finget,
POM00000783,"Passmore, Deborah Griscom, 1840-1911",Musa,bananas,"Puerto Rico, United States",1 art original : col. ; 17 x 25 cm. ,38186,1907,,1907-04-01,Ingles,
POM00000788,"Passmore, Deborah Griscom, 1840-1911",Musa,bananas,"Lemon City, Lemon City, Dade County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,19443,1900,Musa paradisiaca var. sapientum,1900,Paradise,
POM00007282,"Passmore, Deborah Griscom, 1840-1911",Musa,bananas,,1 art original : col. ; 17 x 25 cm. ,38168,1907,S.P.I.,1907-03-28,Platano Morado,
POM00007283,"Newton, Amanda Almira, ca. 1860-1943",Musa,bananas,"Puerto Rico, United States",1 art original : col. ; 17 x 25 cm. ,38188,1907,,1907,Popoulu Hawaii,
POM00007284,"Schutt, Ellen Isham, 1873-1955",Musa,bananas,"Mexico City, Mexico",1 art original : col. ; 17 x 25 cm. ,32367,1904,,1904,Yenjerto,
POM00007286,"Passmore, Deborah Griscom, 1840-1911",Myristica fragrans,nutmeg,"Puerto Rico, United States",1 art original : col. ; 17 x 25 cm. ,36322,1906,Eugenia malaccensis; Porto Rico fruit; malay apple; Myristica machate,1906-08-02,,
POM00007352,"Passmore, Deborah Griscom, 1840-1911",Nyssa ogeche,Ogeechee tupelo,"Valdosta, Lowndes County, Georgia, United States",1 art original : col. ; 17 x 25 cm. ,25984,1902,Ogechee lime,1902,,
POM00007413,"Shull, James Marion, 1872-1948",Olea europaea,olives,,1 art original : col. ; 17 x 24 cm. ,1565,1930,Artificial inoculation,1930,Barouni,
POM00007355,"Steadman, Royal Charles, b. 1875",Olea europaea,olives,"Lake Elsinore, Riverside County, California, United States",1 art original : col. ; 17 x 25 cm. ,94730,1917,,1917-11-28,Manzanillo,Changed Elisnore to Lake Elsinore
POM00005486,"Steadman, Royal Charles, b. 1875",Prunus persica,peaches,"Fort Valley, Peach County, Georgia, United States",1 art original : col. ; 17 x 26 cm. ,107595,1926,,1926-07-31,J.H. Hale,Changed Houston County to Peach
POM00005487,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Fort Valley, Peach County, Georgia, United States",1 art original : col. ; 15 x 24 cm. ,63536,1913,,1913-07-21,J.H. Hale,Changed Houston County to Peach
POM00005780,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"South Glastonbury, Hartford County, Connecticut, United States",1 art original : col. ; 17 x 25 cm. ,41935b,1908,No. 96 Seedling; Selah?,1908-09-14,J.H. Hale,
POM00005831,"Shull, James Marion, 1872-1948",Prunus persica,peaches,"Bentonville, Benton County, Arkansas, United States",1 art original : col. ; 17 x 24 cm. ,1337,1924,Received 06/16/1924,1924,J.H. Hale,
POM00005491,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,51659,1911,,1911-09-19,Jacques Rare Ripe,
POM00005847,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,41756,1908,,1908-08-29,Jacques Rare Ripe,
POM00005488,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 15 x 24 cm. ,63400,1913,,1913-07-09,Japan Blood,
POM00005489,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 16 x 25 cm. ,63445,1913,4028,1913-07-10,Japan Blood,
POM00005490,"Schutt, Ellen Isham, 1873-1955",Prunus persica,peaches,"East Nashville, Davidson County, Tennessee, United States",1 art original : col. ; 17 x 25 cm. ,36184,1906,,1906-07-05,Japanese Dwarf,
POM00005923,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,51470,1911,,1911-09-06,Jennie Worthen,Changed Alex[andria]to Arlington
POM00005492,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Waldo, Alachua County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,24780,1902,,1902,Jewel,
POM00005494,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"College Station, Brazos County, Texas, United States",1 art original : col. ; 16 x 25 cm. ,15584,1898,,1898,Jewel,Alternative variety name(s): Jewell
POM00005497,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Waldo, Alachua County, Florida, United States",1 art original : col. ; 17 x 24 cm. ,11934,1896,,1896,Jewel,
POM00005493,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Hampton, Bradford County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,28720,1903,,1903,Jewell,
POM00005495,"Schutt, Ellen Isham, 1873-1955",Prunus persica,peaches,"Manatee, Manatee County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,46883,1910,,1910-06-02,Jewell,
POM00005496,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Manatee, Manatee County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,50615,1911,,1911-05-17,Jewell,
POM00005498,"Schutt, Ellen Isham, 1873-1955",Prunus persica,peaches,"Mexia, Limestone County, Texas, United States",1 art original : col. ; 16 x 25 cm. ,57326,1912,,1912-08-12,Joe,
POM00005499,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,47265,1910,4034,1910-08-03,John Haas,
POM00005500,"Heiges, Bertha",Prunus persica,peaches,"Paw Paw, Morgan County, West Virginia, United States",1 art original : col. ; 17 x 25 cm. ,25479,1902,,1902-08-12,John Haas,
POM00005713,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Prunus persica,nectarines,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 18 x 27 cm. ,7537,1937,,1937,John River,
POM00005555,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,48226,1910,4032,1910-09-19,Sunrise Cling,
POM00005556,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"South Haven, Van Buren County, Michigan, United States",1 art original : col. ; 16 x 24 cm. ,12243,1896,,1896,Surpasse,Alternative variety name(s): Milocoton
POM00005557,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 16 x 25 cm. ,47592,1910,4978,1910-08-19,Susquehanna,
POM00006002,"Shull, James Marion, 1872-1948",Prunus persica,peaches,"California, United States",1 art original : col. ; 17 x 24 cm. ,1465,1926,,1926,Sutler Cling,
POM00006003,"Shull, James Marion, 1872-1948",Prunus persica,peaches,"California, United States",1 art original : col. ; 15 x 24 cm. ,1466,1926,,1926,Sutler Cling,
POM00005558,"Lower, Elsie E., b. 1882",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,41932,1908,S.P.I. 4089; L.C.C.,1908-09-12,Switzerland,
POM00005559,"Schutt, Ellen Isham, 1873-1955",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,51662,1911,,1911-09-20,Switzerland,
POM00005560,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Lake Helen, Volusia County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,25017,1902,,1902,Taber,
POM00005561,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Lake Helen, Volusia County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,28801,1903,,1903,Taber,
POM00005794,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Cedar Rapids, Linn County, Iowa, United States",1 art original : col. ; 17 x 25 cm. ,41432,1908,,1908-08-12,Taft,Alternative variety name(s): Hinkleys Seedling No. 2
POM00005562,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Mexia, Limestone County, Texas, United States",1 art original : col. ; 16 x 25 cm. ,63787,1913,,1913,Tena,
POM00005563,"Lower, Elsie E., b. 1882",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,47651,1910,4026,1910-08-26,Teton De Venus,
POM00005564,"Schutt, Ellen Isham, 1873-1955",Prunus persica,peaches,"Sherman, Grayson County, Texas, United States",1 art original : col. ; 17 x 25 cm. ,51069,1911,,1911-08-03,Texan,
POM00005565,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Denison, Grayson County, Texas, United States",1 art original : col. ; 17 x 25 cm. ,28812,1903,,1903,Texas King,
POM00005566,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,47532,1910,,1910-08-13,Thurber,
POM00005567,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Mayfield, Hancock County, Georgia, United States",1 art original : col. ; 17 x 25 cm. ,63426,1913,,1913-07-08,Thurber,
POM00005568,"Shull, James Marion, 1872-1948",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,51274,1911,,1911-08-30,Thurber,
POM00005569,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,47315,1910,,1910-07-30,Tillotson,
POM00005570,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"McKinney, Collin County, Texas, United States",1 art original : col. ; 17 x 25 cm. ,46896,1910,,1910-06-04,Togo,
POM00005571,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Mexia, Limestone County, Texas, United States",1 art original : col. ; 15 x 24 cm. ,82582,1915,,1915-08-10,Tonghina,
POM00005714,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Prunus persica,nectarines,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 18 x 27 cm. ,[00135],1936,,1936,John River,Assigned specimen number
POM00005715,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,nectarines,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,[00136],1940,,1940,John River,Assigned specimen number
POM00005501,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Fort Valley, Peach County, Georgia, United States",1 art original : col. ; 16 x 25 cm. ,28919,1903,,1903,Johnsons Early,Changed Houston County to Peach
POM00005502,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,113315,1936,Negative Number  10,1936-09,July Elberta,Alternative variety name(s): July Aspen
POM00005504,,Prunus persica,peaches,,1 art original : col. ; 22 x 27 cm. ,[00115],,,,July Elberta,Assigned specimen number
POM00005505,"Lower, Elsie E., b. 1882",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,42058,1908,L.C.C.; 4086,1908-09-18,Jumbo,
POM00005506,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Prunus persica,peaches,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 18 x 26 cm. ,[00116],1936,113300,1936,June Elberta,Assigned specimen number
POM00005507,,Prunus persica,peaches,,1 art original : col. ; 17 x 25 cm. ,[00117],,,,June Elberta,Assigned specimen number
POM00005521,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,[00123],1940,,1940,June Elberta,Assigned specimen number
POM00005503,"Shull, James Marion, 1872-1948",Prunus persica,peaches,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 24 cm. ,1692,1936,113300,1936-07-23,June Elberta Cling,
POM00005508,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 16 x 25 cm. ,64758,1913,4086,1913-09-24,Juno,
POM00005509,"Lower, Elsie E., b. 1882",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,48032,1910,4086,1910-09-13,Juno,
POM00005510,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,47822,1910,4009,1910-08-30,Kalamazoo,
POM00005522,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,[00124],1940,,1940,Kalhaven,Assigned specimen number
POM00005511,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Mexia, Limestone County, Texas, United States",1 art original : col. ; 17 x 25 cm. ,83299,1915,,1915-09,Katie,
POM00005512,"Schutt, Ellen Isham, 1873-1955",Prunus persica,peaches,"Cedar Rapids, Linn County, Iowa, United States",1 art original : col. ; 16 x 25 cm. ,42027,1908,Seedling,1908-09-16,Keith,
POM00005513,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Sherman, Grayson County, Texas, United States",1 art original : col. ; 17 x 25 cm. ,31585,1904,,1904,Kelleys Surprise,
POM00005848,"Thompson, Harriet L.",Prunus persica,peaches,"Augusta, Richmond County, Georgia, United States",1 art original : col. ; 17 x 25 cm. ,82676 1/2,1915,,1915,Kent,
POM00005849,"Schutt, Ellen Isham, 1873-1955",Prunus persica,peaches,"Mayfield, Hancock County, Georgia, United States",1 art original : col. ; 17 x 25 cm. ,34290,1905,,1905,Kent,
POM00005716,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,nectarines,"Lousville, Jefferson County, Kentucky, United States",1 art original : col. ; 17 x 24 cm. ,12128,1896,,1896,Kentucky,
POM00003445,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Saint Paul, Ramsey County, Minnesota, United States",1 art original : col. ; 17 x 25 cm. ,113799,1933,,1933-11-21,Sugar Loaf,
POM00003446,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Waupaca, Waupaca County, Wisconsin, United States",1 art original : col. ; 16 x 25 cm. ,8057,1894,,1894,Sukar,
POM00003447,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,110369,1928,"Section K, Row 18, Tree 1; Acc #11663",1928-09-08,Summer Bellflower,
POM00003451,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Washington, D.C., United States",1 art original : col. ; 17 x 25 cm. ,35016,1905,,1905-10-13,Summer Catlin,
POM00003448,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Fayetteville, Washington County, Arkansas, United States",1 art original : col. ; 16 x 25 cm. ,14174,1897,,1897-08-21,Summer Champion,
POM00003449,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Lincoln, Washington County, Arkansas, United States",1 art original : col. ; 17 x 25 cm. ,36648,1906,,1906-09-12,Summer Champion,
POM00003450,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Fayetteville, Washington County, Arkansas, United States",1 art original : col. ; 17 x 26 cm. ,51109,1911,,1911-08-30,Summer Champion,
POM00000033,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art reproduction ; 17 x 26 cm. ,98456a,1920,,1920-08-14,Summer Extra,
POM00003337,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Thayer, Neosho County, Kansas, United States",1 art original : col. ; 17 x 25 cm. ,15896,1898,,1898-08-05,Summer Extra,Changed Neoshoe County to Neosho
POM00003338,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,106546,1925,"Section H, Row 19-20, Tree 4; Acc #6424",1925,Summer Extra,
POM00003452,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,98456,1920,,1920-08-13,Summer Extra,
POM00003453,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,111016,1929,"Section H, Row 19, Tree 4; Picked 07/19/1929",1929-08-06,Summer Extra,
POM00003339,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Rockville, Montgomery County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,38785,1907,R.F.D.,1907-08-29,Summer Hagloe,
POM00003340,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Denton, Caroline County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,57742,1912,,1912-08-27,Summer King,
POM00002436,"Prestele, William Henry, 1838-1895",Malus domestica,apples,"Denton, Caroline County, Maryland, United States",1 art original : col. ; 16 x 25 cm. ,5223,1893,"See #9310.  See Dowling apendix page 35 X22053 ,page 340.vol. a, Tennessee Summer Queen.",1893-08-18,Summer King,Alternative variety name(s):  Kentucky Summer Queen; Bounty
POM00003341,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,106547,1925,"Section K, Row 24, Tree 3; Acc #10875",1925,Summer Pearmain,
POM00003342,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"College Park, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,57292,1912,,1912-08-13,Summer Pearmain,
POM00003344,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"State College, Centre County, Pennsylvania, United States",1 art original : col. ; 17 x 25 cm. ,89857,1916,,1916-09-20,Summer Pearmain,
POM00003345,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,98466,1920,,1920-08-17,Summer Pearmain,
POM00003346,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,106485,1925,"Section B, Row 21-22, Tree 4; Picked 07/20/1925",1925-07-31,Summer Pippin,
POM00002853,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,106657,1925,"Section D, Row 23, Tree 3; Access. # 3374",1925,Lyman Prolific,
POM00001824,"Thompson, Harriet L.",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,82114,1915,,1915,Mabel,
POM00001825,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Leanderville, Randolph County, Illinois, United States",1 art original : col. ; 17 x 24 cm. ,12018,1896,,1896-08-04,Mabel,
POM00003187,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"New York, United States",1 art original : col. ; 17 x 25 cm. ,113194,1936,Negative Number2; New York Exp. Station,1936-04,Macoun,
POM00001826,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Washington, D.C., United States",1 art original : col. ; 17 x 25 cm. ,112757,1933,"Negative Number 59924; W.L. Corbin, Smithsonian Institute [sic]",1933,Macoun,
POM00002750,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Oakland, Garrett County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,36711,1906,,1906-11-07,Madam Lewis,
POM00002751,"Heiges, Bertha",Malus domestica,apples,"Princeton, Bureau County, Illinois, United States",1 art original : col. ; 17 x 25 cm. ,19998,1900,See X 1535,1900-09-11,Madam Lewis,
POM00002752,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Pullman, Whitman County, Washington, United States",1 art original : col. ; 17 x 25 cm. ,17313,1899,,1899-01-21,Madonna,
POM00002753,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Saint Catharines, Ontario, Canada",1 art original : col. ; 17 x 25 cm. ,22570,1901,,1901,Maggies Favorite,Alternative variety name(s):  Maggie
POM00002754,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Mountain Grove, Wright County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,85609,1916,,1916-01-11,Maggs Seedling,Alternative variety name(s):  Maggs
POM00000811,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Louisiana, Pike County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,36920,1906,,1906-11-18,Magnate,Watercolor includes mock up for the Yearbook of Agriculture (1906)
POM00002755,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Leavenworth, Leavenworth County, Kansas, United States",1 art original : col. ; 17 x 25 cm. ,48530,1911,,1911-01-06,Magnate,
POM00002756,"Heiges, Bertha",Malus domestica,apples,"Farmingdale, Sangamon County, Illinois, United States",1 art original : col. ; 17 x 25 cm. ,26051,1902,It is suggested that Mr. Irwin was in error when he changed this from 'Magnet' to 'Magnate'. According to Arlington Accession records we received scions of Magnet [from] Benjamin Buckman in 19__. These were propagated and 'Magnet' and 'Magnate' were different apples.  H.P.G. 06/08/1942,1902-09-18,Magnate,Alternative variety name(s):  Magnet
POM00002757,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Leavenworth, Leavenworth County, Kansas, United States",1 art original : col. ; 17 x 25 cm. ,36587,1906,Seedling,1906-09-12,Magnate,
POM00000234,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Mapleton, Monona County, Iowa, United States",1 art original : col. ; 17 x 25 cm. ,29908,1903,,1903-10-05,Magog,
POM00002758,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 16 x 25 cm. ,89809,1916,,1916-09-15,Magog,
POM00000235,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Sierra Foothills District, Fresno, Fresno County, California, United States",1 art original : col. ; 17 x 25 cm. ,49304,1911,,1911-01-05,Magoon,
POM00000236,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"South Haven, Van Buren County, Michigan, United States",1 art original : col. ; 17 x 25 cm. ,31516 1/2,1904,,1904-05-04,Magyar,
POM00000111,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Anderson, Putnam County, Missouri, United States",1 art original : col. ; 18 x 24 cm. ,1057,1918,,1918,Maiden Blush,
POM00000239,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Saint Joseph, Buchanan County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,54681,1912,,1912-01-15,Maiden Blush,
