pomid,artist,scientific name,common name,geographic origin,physical description,specimen,year,notes on original,date created,variety,nal note,cultivar
POM00004085,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,110978,1929.0,"Section [K], Row 18, Tree 2",1929,,,apple
POM00004116,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,Canada,1 art original : col. ; 17 x 25 cm. ,26583,1902.0,Walter Spy x G. Russet; A copy of P.C. Dempsey,1902,,,apple
POM00004262,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Isla de la Juventud, Cuba",1 art original : col. ; 17 x 25 cm. ,40856,1908.0,F.R. Ramsdell; Columbia,1908-04-29,,Isla de Pinos (Isle of Pines) until 1978,apple
POM00004263,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Ronceverte, Greenbrier County, West Virginia, United States",1 art original : col. ; 17 x 25 cm. ,32773,1904.0,Andrew J. [Pedar?],1904,,,apple
POM00004267,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,110966,,"Section K, Row 17, Tree 4; Picked 07/03/1929",,,,apple
POM00004268,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,110924,,"Section K, Row 6, Tree 9; Two paintings",,,,apple
POM00004269,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,110924a,1929.0,"Section K, Row 6, Tree 9; Picked 06/21/1929",1929-06-29,,,apple
POM00004270,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Malus domestica,apples,,1 art original : col. ; 17 x 25 cm. ,[00045],,,,,Assigned specimen number,apple
POM00004274,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,110962,,"Section K, Row 6, Tree 11; Picked 06/25/1929",,,,apple
POM00002120,"Strange, M.",Malus domestica,apples,"North Vernon, Jennings County, Indiana, United States",1 art original : col. ; 16 x 25 cm. ,77776,1914.0,Edna.  Northern Spy x Swaar,1914-11-09,,,apple
POM00002178,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,55093,1912.0,Esopus x Ben Davis,1912-02-28,,,apple
POM00002203,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,55094,1912.0,Esopus x Ben Davis  Seedling,1912-03-02,,,apple
POM00002204,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,55091,1912.0,Esopus x Ben Davis Seedling,1912-03-01,,,apple
POM00002397,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,,1 art original : col. ; 16 x 25 cm. ,28343,1903.0,Committee for Missouri Horticultural Society,1903,,,apple
POM00004476,"Heiges, Bertha",Prunus avium,cherries,"South Haven, Van Buren County, Michigan, United States",1 art original : col. ; 17 x 25 cm. ,17545; 17546,1899.0,,1899-07-05,,Watercolor includes these varieties:   Mednyansky; German,cherry
POM00004617,"Shull, James Marion, 1872-1948",Prunus avium,cherries,"Finleyville, Washington County, Pennsylvania, United States",1 art original : col. ; 17 x 24 cm. ,1081,1918.0,,1918-09-13,,,cherry
POM00004633,"Passmore, Deborah Griscom, 1840-1911",Prunus avium,cherries,"South Haven, Van Buren County, Michigan, United States",1 art original : col. ; 17 x 25 cm. ,13958; 13956,1897.0,,1897,,Watercolor includes these varieties:   Windsor; Spanish,cherry
POM00004642,"Passmore, Deborah Griscom, 1840-1911",Prunus avium,cherries,"South Haven, Van Buren County, Michigan, United States",1 art original : col. ; 17 x 25 cm. ,17544; 17543,1899.0,,1899,,"Watercolor includes these varieties: Badacsony, Baltovari, Baltavar",cherry
POM00004659,"Heiges, Bertha",Prunus avium,cherries,"Springbrook, Yamhill County, Oregon, United States",1 art original : col. ; 16 x 22 cm. ,11995; 8898,1895.0,,1895-06-29,,Watercolor includes these varieties:   Psyche No. 2; Heiges; Heiges Psyche,cherry
POM00004662,"Passmore, Deborah Griscom, 1840-1911",Prunus avium,cherries,"South Haven, Van Buren County, Michigan, United States",1 art original : col. ; 14 x 24 cm. ,13896; 13901,1897.0,,1897,,Watercolor includes these varieties:  Hortense; Sklanka,cherry
POM00004663,"Passmore, Deborah Griscom, 1840-1911",Prunus avium,cherries,"Springbrook, Yamhill County, Oregon, United States",1 art original : col. ; 17 x 25 cm. ,8896; 8897; 8898a,1895.0,(8897) - See letter 11/07/1896,1895,,Watercolor includes these varieties:   Hoskins; Lethe; New Seedling No. 1; New Seedling No. 2; Heiges,cherry
POM00004666,"Heiges, Bertha",Prunus avium,cherries,"South Haven, Van Buren County, Michigan, United States",1 art original : col. ; 17 x 24 cm. ,14007a; 14008,1897.0,,1897,,Watercolor includes these varieties:   King Amorelle; Lithauer Weichsel,cherry
POM00004676,"Passmore, Deborah Griscom, 1840-1911",Prunus avium,cherries,"Salem, Marion County, Oregon, United States",1 art original : col. ; 16 x 24 cm. ,9082a; 8898b,1895.0,,1895,,"Watercolor includes:  A, 9082 Lambert, C.B. Watson, Salem, OR;  B, copy of 8898, C.E. Hoskins, Springbrook, OR, was 29-95 now Heiges",cherry
POM00004713,"Arnold, Mary Daisy, ca. 1873-1955",Prunus avium,cherries,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,113289,1936.0,"Row 2, Tree1",1936-06-19,,,cherry
POM00004715,"Shull, James Marion, 1872-1948",Prunus avium,cherries,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 18 x 24 cm. ,1045,1913.0,Laboratory infection,1913,,,cherry
POM00004717,"Shull, James Marion, 1872-1948",Prunus avium,cherries,"Grimsby, Ontario, Canada",1 art original : col. ; 17 x 24 cm. ,408,1910.0,,1910,,,cherry
POM00004719,"Shull, James Marion, 1872-1948",Prunus avium,cherries,"McNeil Island, Washington, United States",1 art original : col. ; 17 x 24 cm. ,268,1909.0,,1909,,,cherry
POM00004720,"Shull, James Marion, 1872-1948",Prunus avium,cherries,"Traverse City, Grand Traverse County, Michigan, United States",1 art original : col. ; 16 x 24 cm. ,609,1912.0,Sprayed three times with Bordeaux,1912,,,cherry
POM00004721,"Shull, James Marion, 1872-1948",Prunus avium,cherries,"Beulah, Benzie County, Michigan, United States",1 art original : col. ; 16 x 24 cm. ,907,1915.0,"Cherry. Winter injury on cherry.  Sent in by A.J. Rogers, Beulah, Mich., May 28, 1915. Rather typical intense cold winter injury killing the wood or bark, killing it throughout the entire cylinder and killing through the bark in spots, the rest of the bark remaining alive.  This trouble is very common on the sweet cherry, much less so on the sour.",1915,,,cherry
POM00004446,"Schutt, Ellen Isham, 1873-1955",Prunus avium,cherries,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,56954,1912.0,,1912-07-10,Abbess d' Oignies,,cherry
POM00004183,"Passmore, Deborah Griscom, 1840-1911",Prunus avium,cherries,"South Haven, Van Buren County, Michigan, United States",1 art original : col. ; 17 x 25 cm. ,13997; 14010,1897.0,Northwest,1897,Abbesse,Watercolor does not include cross-section of specimen #13997,cherry
POM00004460,"Newton, Amanda Almira, ca. 1860-1943",Prunus avium,cherries,"Geneva, Ontario County, New York, United States",1 art original : col. ; 16 x 25 cm. ,82056,1915.0,,1915-07-13,Allen,,cherry
POM00004461,"Passmore, Deborah Griscom, 1840-1911",Prunus avium,cherries,"Columbus, Franklin County, Ohio, United States",1 art original : col. ; 17 x 25 cm. ,13784,1897.0,"Room 11, Mshy Block[?]",1897,Amarelle Bunt,,cherry
POM00004462,"Heiges, Bertha",Prunus avium,cherries,"South Haven, Van Buren County, Michigan, United States",1 art original : col. ; 17 x 24 cm. ,14037; 14042,1897.0,Montmorency Ordinaire,1897-08-03,Angouleme,,cherry
POM00006129,"Steadman, Royal Charles, b. 1875",Vitis,grapes,,1 art original : col. ; 22 x 27 cm. ,[00223],,,,Rockwood,Assigned specimen number,grape
POM00006130,,Vitis,grapes,,1 art original : col. ; 22 x 27 cm. ,[00224],,Negative Number 5887,,Rockwood,Assigned specimen number,grape
POM00007570,"Schutt, Ellen Isham, 1873-1955",Vitis,grapes,"California, United States",1 art original : col. ; 19 x 30 cm. ,53889,1911.0,"F.L. Husmann, Oakville Experiment Vineyard",1911,Rodites,,grape
POM00006134,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Vitis,grapes,,1 art original : col. ; 22 x 27 cm. ,[00228],,,,Rogers No. 13,Assigned specimen number,grape
POM00006133,,Vitis,grapes,,1 art original : col. ; 22 x 27 cm. ,[00227],,#70,,Rogers No. 5,Assigned specimen number,grape
POM00006074,"Lower, Elsie E., b. 1882",Vitis,grapes,"Napa, Napa County, California, United States",1 art original : col. ; 17 x 26 cm. ,49005,1910.0,This is evidently Rose de Italie which [?] back to section 3. Southern Pines N.C. Mr. Arnold is sending cuttings to me having gotten the same mixed,1910-10-17,Rose d'Italie,,grape
POM00006075,"Steadman, Royal Charles, b. 1875",Vitis,grapes,,1 art original : col. ; 22 x 27 cm. ,[00229],1933.0,,1933-12-04,Salem,Assigned specimen number,grape
POM00006076,"Passmore, Deborah Griscom, 1840-1911",Vitis,grapes,"Denison, Grayson County, Texas, United States",1 art original : col. ; 17 x 25 cm. ,32045,1904.0,T.V. Munson & Son,1904,San Jacinto,,grape
POM00006077,"Schutt, Ellen Isham, 1873-1955",Vitis,grapes,"Denison, Grayson County, Texas, United States",1 art original : col. ; 17 x 25 cm. ,32043,1904.0,T.V. Munson & Son,1904,San Jacinto,,grape
POM00006079,"Heiges, Bertha",Vitis,grapes,"Earleton, Alachua County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,24933,1908.0,H. Von Luttichau,1908-06-24,Satine Blanc,,grape
POM00006080,"Passmore, Deborah Griscom, 1840-1911",Vitis,grapes,"Miami, Dade County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,34138,1905.0,,1905,Sawignon Vert,,grape
POM00006081,"Newton, Amanda Almira, ca. 1860-1943",Vitis,grapes,"Oakville, Napa County, California, United States",1 art original : col. ; 16 x 24 cm. ,42551,1908.0,,1908-10-15,Scheradzouli Blanc,,grape
POM00006082,"Newton, Amanda Almira, ca. 1860-1943",Vitis,grapes,"Fayetteville, Cumberland County, North Carolina, United States",1 art original : col. ; 17 x 25 cm. ,38369,1907.0,E.F. Cole,1907-06-17,Scuppernong,,grape
POM00006083,,Vitis,grapes,"Smithville, Lee County, Georgia, United States",1 art original : col. ; 13 x 20 cm. ,x272a,1887.0,R.P. Johnson,1887,Scuppernong,Alternative variety name(s): Berries of Scuppernong,grape
POM00006084,"Newton, Amanda Almira, ca. 1860-1943",Vitis,grapes,"Roanoke Island, North Carolina, United States",1 art original : col. ; 17 x 25 cm. ,34830,1905.0,,1905-09-26,Scuppernong,,grape
POM00006085,"Newton, Amanda Almira, ca. 1860-1943",Vitis,grapes,"Beaufort, Beaufort County, South Carolina, United States",1 art original : col. ; 17 x 25 cm. ,36612,1906.0,,1906-09-10,Scuppernong,,grape
POM00006086,"Schutt, Ellen Isham, 1873-1955",Vitis,grapes,"Cottage Hill, Escambia County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,32082,1904.0,C.W. McDonald,1904-09-07,Scuppernong,,grape
POM00006087,,Vitis,grapes,"Smithville, Lee County, Georgia, United States",1 art original : col. ; 13 x 20 cm. ,x272,1887.0,R.P. Johnson; Dots are more round and not so distinct,1887,Scuppernong,,grape
POM00006088,"Newton, Amanda Almira, ca. 1860-1943",Vitis,grapes,"Fresno, Fresno County, California, United States",1 art original : col. ; 19 x 25 cm. ,44574,1909.0,"Geo. C. Husmann, 09/28/1909",1909-09-30,Servan Blanc,,grape
POM00006089,"Passmore, Deborah Griscom, 1840-1911",Vitis,grapes,"Albertson, Duplin County, North Carolina, United States",1 art original : col. ; 17 x 25 cm. ,35084,1905.0,"E.F. Cole, Kinston, Lenoir, N.C.",1905,Smiths Improved,,grape
POM00000378,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,891921,1921.0,,1921-08-09,Hog Island Sweet,,apple
POM00000379,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Adrian, Lenawee County, Michigan, United States",1 art original : col. ; 15 x 24 cm. ,12934,1896.0,,1896-10-23,Hog Island Sweet,Cannot decipher note under variety name,apple
POM00000376,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,109233,1927.0,"Picked 08/04/1927; Section G, Row 23-24, Tree 1",1927-09-27,Hogg,,apple
POM00000377,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,107762,1927.0,"Picked 08/15/1926; Section G, Row 23-24, Tree 1; Doubtful if this is Hogg",1927-01-06,Hogg,,apple
POM00000381,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,102419,1939.0,,1939,Hohenzollern,,apple
POM00001982,"Heiges, Bertha",Malus domestica,apples,"Massachusetts, United States",1 art original : col. ; 17 x 25 cm. ,29601,1903.0,,1903-09-25,Holden,Alternative variety name(s):  Fall Orange,apple
POM00000382,"Heiges, Bertha",Malus domestica,apples,"Saint Catharines, Ontario, Canada",1 art original : col. ; 17 x 25 cm. ,21628,1901.0,,1901-06-06,Holland Pippin,,apple
POM00000383,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Ellicott City, Howard County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,45920,1910.0,,1910-01-28,Holland Pippin,,apple
POM00000384,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Ferndale, Whatcom County, Washington, United States",1 art original : col. ; 17 x 25 cm. ,60806,1912.0,,1912-11-22,Hollandberry Admirable,Alternative variety name(s):  Hollandbury,apple
POM00000385,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Ferndale, Whatcom County, Washington, United States",1 art original : col. ; 17 x 25 cm. ,60806a,1912.0,,1912-11-23,Hollandberry Admirable,Alternative variety name(s):  Hollandbury,apple
POM00000386,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Ferndale, Whatcom County, Washington, United States",1 art original : col. ; 17 x 25 cm. ,65981,1913.0,,1913-10-21,Hollandberry Admirable,Alternative variety name(s):  Hollandbury,apple
POM00000387,"Heiges, Bertha",Malus domestica,apples,"North Bridgton, Cumberland County, Maine, United States",1 art original : col. ; 17 x 25 cm. ,32748,1904.0,,1904-10-31,Holly,,apple
POM00000388,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Cedar Gap, Wright County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,49297,1910.0,,1910-12-22,Holman,,apple
POM00000389,"Heiges, Bertha",Malus domestica,apples,"Kimball, Page County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,18595a,1899.0,,1899-10-27,Honest John,,apple
POM00000390,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Ottawa, Ontario, Canada",1 art original : col. ; 17 x 25 cm. ,111196 1/2,1930.0,"Exhibited at meeting of NY State Fruit Testing Assoc. at Geneva, NY; (Specimen very bad)",1930-03-05,Honora,,apple
POM00000391,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Riverside, Riverside County, California, United States",1 art original : col. ; 17 x 25 cm. ,40925,1908.0,,1908-06-10,Hoover,,apple
POM00000392,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Fairfax, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,59633,1912.0,,1912-10-18,Hoover,,apple
POM00000393,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Waynesboro, Lancaster County, Pennsylvania, United States",1 art original : col. ; 16 x 25 cm. ,90614,1916.0,,1916-10-03,Hoover,,apple
POM00000394,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Corralites, Santa Cruz County, California, United States",1 art original : col. ; 16 x 25 cm. ,39723,1907.0,,1907-12-13,Hoover,,apple
POM00002459,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Mountain City, Johnson County, Tennessee, United States",1 art original : col. ; 16 x 25 cm. ,62679,1913.0,,1913-03-17,Hoover,,apple
POM00006556,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Orlando, Orange County, Florida, United States",1 art original : col. ; 18 x 24 cm. ,1296,1923.0,,1923,,,citrus
POM00006559,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,,1 art original : col. ; 18 x 24 cm. ,1536,1928.0,From market,1928,,,citrus
POM00006561,,Citrus paradisi,grapefruits,"Harlingen, Cameron County, Texas, United States",1 art original : col. ; 16 x 24 cm. ,1614,,Experimental,,,,citrus
POM00006579,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Riverside, Riverside County, California, United States",1 art original : col. ; 17 x 24 cm. ,400,1910.0,,1910,,,citrus
POM00006580,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Orlando, Orange County, Florida, United States",1 art original : col. ; 17 x 24 cm. ,701,1913.0,,1913,,,citrus
POM00006581,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Isla de la Juventud, Cuba",1 art original : col. ; 18 x 24 cm. ,1532,1928.0,,1928,,Isla de Pinos (Isle of Pines) until 1978,citrus
POM00006582,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,,1 art original : col. ; 16 x 24 cm. ,820,1914.0,Culture 1466 on leaf by Miss C.H. Hasse,1914,,,citrus
POM00006592,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Fort Myers, Lee County, Florida, United States",1 art original : col. ; 16 x 24 cm. ,1390,1925.0,Sent in 01/23/1925,1925,,,citrus
POM00006593,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Florida, United States",1 art original : col. ; 15 x 24 cm. ,462,1911.0,Nail-head rust,1911,,,citrus
POM00006594,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Plymouth, Orange County, Florida, United States",1 art original : col. ; 19 x 24 cm. ,329,1910.0,,1910,,,citrus
POM00006606,"Newton, Amanda Almira, ca. 1860-1943",Citrus paradisi,grapefruits,"Exeter, Tulare County, California, United States",1 art original : col. ; 17 x 25 cm. ,50427,1911.0,S.P.I. 1167,1911-03-30,,,citrus
POM00006608,"Steadman, Royal Charles, b. 1875",Citrus paradisi,grapefruits,Jamaica,1 art original : col. ; 17 x 25 cm. ,98352,1920.0,,1920-04-29,,,citrus
POM00006615,"Steadman, Royal Charles, b. 1875",Citrus paradisi,grapefruits,,1 art original : col. ; 17 x 25 cm. ,98352a,1920.0,,1920-04-28,,,citrus
POM00006621,"Newton, Amanda Almira, ca. 1860-1943",Citrus paradisi,grapefruits,"Riverside, Riverside County, California, United States",1 art original : col. ; 17 x 25 cm. ,46877 1/2,1910.0,Pomelo; Entirely seedless; Characteristic of one tree in group. See painting,1910-06-03,,,citrus
POM00006622,"Newton, Amanda Almira, ca. 1860-1943",Citrus paradisi,grapefruits,"Exeter, Tulare County, California, United States",1 art original : col. ; 17 x 25 cm. ,50428,1911.0,"Royal Botanic Garden, S.P.I. 11673",1911-03-23,,,citrus
POM00006623,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,,1 art original : col. ; 17 x 23 cm. ,1195,1920.0,Sent in by Payne 02/25/1920,1920,,,citrus
POM00006671,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Highland, San Bernardino County, California, United States",1 art original : col. ; 16 x 24 cm. ,1108,1919.0,,1919,,,citrus
POM00006672,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,,1 art original : col. ; 18 x 24 cm. ,787,1914.0,,1914,,,citrus
POM00006725,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Puerto Rico, United States",1 art original : col. ; 16 x 24 cm. ,1295,1923.0,2/3 natural size. Upper left kept at 86 degrees Fahrenheit. Upper right kept at 77 degrees Fahrenheit. Lower left kept at 68 degrees Fahrenheit. Lower middle kept at 50 degrees Fahrenheit. Lower right kept at 50 degrees Fahrenheit. Held at Beltsville for,1923,,,citrus
POM00006726,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Palmetto, Manatee County, Florida, United States",1 art original : col. ; 17 x 24 cm. ,330,1910.0,Collected by M.B. Waite,1910,,,citrus
POM00000589,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,62183,1913.0,Ben Davis x Jonathan,1913-02-11,Rensselaer,,apple
POM00000590,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Fairmont, Martin County, Minnesota, United States",1 art original : col. ; 17 x 25 cm. ,40427,1908.0,,1908-03-26,Repka Malenka,Changed Fairmount to Fairmont,apple
POM00000733,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Excelsior, Hennepin County, Minnesota, United States",1 art original : col. ; 17 x 25 cm. ,40113,1908.0,,1908-01-28,Repka Malenka,,apple
POM00000734,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Schaefferstown, Lebanon County, Pennsylvania, United States",1 art original : col. ; 17 x 25 cm. ,28221,1903.0,,1903,Rex Pippin,Changed Shaefferstown to Schaefferstown,apple
POM00002405,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Saint Paul, Ramsey County, Minnesota, United States",1 art original : col. ; 17 x 26 cm. ,112796,1934.0,Negative Number 613059; Specimen too far gone to paint section,1934-04,Rhoda,,apple
POM00000736,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,106966,1926.0,"Section E, Row 24, Tree 4; Picked 09/25/1925",1926-01-09,Rhode Island Greening,,apple
POM00000737,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Charles City, Floyd County, Iowa, United States",1 art original : col. ; 17 x 26 cm. ,39549,1907.0,Rhode Island Greening x Grimes Golden,1907-12-17,Rhode Island Greening,,apple
POM00000738,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,99837,1921.0,,1921,Rhode Island Greening,,apple
POM00000739,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Pleasant Valley, El Dorado County, California, United States",1 art original : col. ; 17 x 25 cm. ,42594,1908.0,,1908-11-12,Rhode Island Greening,,apple
POM00000743,"Heiges, Bertha",Malus domestica,apples,"Barker, Niagara County, New York, United States",1 art original : col. ; 17 x 25 cm. ,28647a; 28647b,1903.0,"Effect of soil; About 8 months in storage at 32 degrees Fahrenheit; A - grown in sandy soil tillage, B - grown in clay soil tillage",1903-05-02,Rhode Island Greening,,apple
POM00003034,"Heiges, Bertha",Malus domestica,apples,"Newburgh, Orange County, New York, United States",1 art original : col. ; 17 x 25 cm. ,33411; 33412,1905.0,"Immediate vs Delayed storage; 33411 - Immediate storage, Picked 09/26/1904. 33412 - Delayed storage, Picked 09/20/1904, stored 10/06(?)/1904",1905-02-07,Rhode Island Greening,,apple
POM00003035,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,,1 art original : col. ; 17 x 25 cm. ,88085,1916.0,Apple purchased in market,1916-03-30,Rhode Island Greening,,apple
POM00003036,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Stuyvesant Falls, Columbia County, New York, United States",1 art original : col. ; 17 x 25 cm. ,33884; 33885,1905.0,"Immediate vs Delayed Storage. 33884 - Delayed Storage, withdrawn 03/23/1905. Delay = 2 weeks. 33885 - Immediate Storage",1905,Rhode Island Greening,Changed Stuyversant to Stuyvesant,apple
POM00003037,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Ghent, Columbia County, New York, United States",1 art original : col. ; 17 x 25 cm. ,30315; 30316,1903.0,"Stored at 32 degrees Fahrenheit; 30315 picked 09/19/1903, stored October; 30316 picked 09/21/1903, stored 10/10/1903; Both withdrawn 11/05/1903; Delayed Storage",1903,Rhode Island Greening,,apple
POM00003038,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Okanogan, Okanogan County, Washington, United States",1 art original : col. ; 17 x 25 cm. ,45170,1910.0,,1910-03-05,Rhode Island Greening,,apple
POM00003968,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Hood River, Hood River County, Oregon, United States",1 art original : col. ; 16 x 24 cm. ,852,1915.0,,1915,Rhode Island Greening,,apple
POM00003039,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Sea Cliff, Nassau County, New York, United States",1 art original : col. ; 17 x 25 cm. ,68734,1913.0,,1913-12-24,Ribston,,apple
POM00003105,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Wolfville, Kings County, Nova Scotia, Canada",1 art original : col. ; 16 x 25 cm. ,31339,1904.0,,1904,Ribston,,apple
POM00003106,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Fredericton, New Brunswick, Canada",1 art original : col. ; 17 x 25 cm. ,92051,1917.0,,1917-01-04,Ribston,,apple
POM00003107,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Hood River, Hood River County, Oregon, United States",1 art original : col. ; 17 x 24 cm. ,1664,1935.0,,1935-12-21,Richard,,apple
POM00000714,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,111219,1930.0,Fruit Testing Association,1930-01,Red Sauce,,apple
POM00000715,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,111219a,1930.0,Fruit Testing Association,1930-01,Red Sauce,,apple
POM00001301,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Belding, Ionia County, Michigan, United States",1 art original : col. ; 17 x 25 cm. ,85027,1915.0,No. 1,1915-11-17,Red Section Baldwin,,apple
POM00000713,"Lower, Elsie E., b. 1882",Malus domestica,apples,"Faison, Duplin County, North Carolina, United States",1 art original : col. ; 17 x 25 cm. ,41175,1908.0,No Comments.  (Probably local apple),1908-07-31,Red Sour June,,apple
POM00003198,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Fennville, Allegan County, Michigan, United States",1 art original : col. ; 17 x 25 cm. ,112945,1934.0,,1934,Red Sport of Stark,,apple
POM00000716,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,113202,1936.0,Negative Number 1,1936-04,Red Spy,Alternative variety name(s):  Red Spy (Green),apple
POM00000718,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,11121923,1923.0,,1923,Red Spy,,apple
POM00000720,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 24 cm. ,1677,1936.0,,1936-04-04,Red Spy,,apple
